사람_여자
Hips|99.78224,-5.30568647,3.9185133,5.157633,3.918512,95.4728851,29.48854,-96.00915,-5.305687,-29.2707748,95.4728851,26.0903263,0,0,0,1|0,95.47874,0|0.104830429,-0.0408911742,-0.02483024,0.9933388|Armature
LeftUpLeg|99.28439,-8.815835,8.055509,14.9761648,-8.055507,-99.23828,-9.320524,89.6869354,8.815792,8.604982,-99.2384949,-4.81899,0,0,0,1|-7.14794731,-9.141644,1.4620105|0.9410936,-0.0144854551,0.1343222,0.309984744|Hips
LeftLeg|99.71767,-5.55915165,5.047821,13.1871262,-5.04781342,-99.39578,-9.746684,54.4643,5.559124,9.464432,-99.39599,-5.625155,0,0,0,1|-6.5414315E-07,35.9116859,8.129051E-06|0.666993856,-0.0872433558,0.0307233371,0.7392996|LeftUpLeg
LeftFoot|99.99431,0.3947268,-0.9897959,12.1448669,0.989812732,-68.81256,72.55259,12.7006721,-0.3947278,-72.55805,-68.812645,5.779525,0,0,0,1|1.05540857E-06,39.3996353,-1.35746541E-06|-0.434324533,0.03219864,-0.0459203944,0.8990088|LeftLeg
LeftToeBase|99.9906845,0.00015818527,-1.36412859,12.1761227,1.36414373,-8.427686E-05,99.9909,-4.494674,0.000161569376,-99.99998,-2.20421953E-06,3.61151457,0,0,0,1|-7.141109E-07,15.0145311,-4.89172578E-08|-0.368630558,-0.0162807833,0.01868904,0.929245532|LeftFoot
RightUpLeg|99.34391,8.436376,-7.71939659,-14.3808575,7.719464,-99.28017,-9.157283,89.69423,-8.436755,8.501166,-99.27985,-4.758651,0,0,0,1|7.63782358,-8.672619,0.824182451|0.9486732,0.0295043737,-0.116887331,0.292379826|Hips
RightLeg|99.7116241,5.62760067,-5.08888149,-12.8468523,5.08893251,-99.35242,-10.1585608,54.0953445,-5.62798738,9.870158,-99.35209,-5.786119,0,0,0,1|-1.63917122E-07,36.1965141,-1.62880531E-06|0.3730272,0.0471087843,-0.0203291755,0.9264007|RightUpLeg
RightFoot|99.99991,-0.00391666032,0.009913705,-11.8894758,-0.009572502,-68.69834,72.6669159,12.6443491,0.00379061769,-72.66727,-68.69826,5.778686,0,0,0,1|2.99607223E-07,39.0596848,2.03653258E-06|-0.545562148,-0.0315793864,0.009327288,0.837423265|RightLeg
RightToeBase|99.99991,-8.765033E-06,0.0136272451,-11.8897877,-0.0132737122,0.000187755082,99.9996643,-4.7396493,8.625491E-05,-99.99997,1.1754179E-08,3.47057724,0,0,0,1|-1.05005267E-06,15.11334,-4.25042572E-07|-0.33738032,0.01404978,-0.0215928629,0.9410159|RightFoot
Spine02|99.99619,0.637904,0.5925179,-0.6541443,-0.592517436,99.72635,-7.3691206,-109.094521,-0.6379043,7.36533451,99.72634,-10.5255508,0,0,0,1|-0.4898737,10.6472626,-2.28618169|-0.07735746,0.036187157,0.0278998651,0.9959558|Hips
Spine01|99.99619,0.637904167,0.592517,-0.6541447,-0.5925178,99.72635,-7.369112,-119.124123,-0.637903333,7.365326,99.72634,-10.5255423,0,0,0,1|1.4901012E-08,10.9009647,7.97911E-07|0.02047518,0.0313046,-0.0122129992,0.999225557|Spine02
Spine|99.99549,-0.7374356,-0.5971385,1.13971162,0.597137749,97.81169,-20.7970543,-126.5386,0.737436354,20.7925587,97.81168,-27.9032364,0,0,0,1|-4.81500919E-08,10.9009676,-8.74857051E-07|-0.103951335,0.0354105942,-0.0118074883,0.9938817|Spine01
LeftShoulder|-10.0045319,5.86650276E-06,99.4982758,-0.271580577,-99.49828,-1.23338839E-06,-10.00453,-2.57780313,-1.12828296E-07,-100.000008,2.98391478E-06,132.498077,0,0,0,1|-3.075807,2.6233983,-0.4973071|0.6521924,-0.5036478,0.458432019,0.3329025|Spine
LeftArm|88.34781,-33.8357162,32.40076,55.9622536,-32.4007568,-94.08556,-9.904589,120.598442,33.8357239,-1.74760413,-94.08555,5.55761766,0,0,0,1|2.19844219E-06,12.2917747,7.45827674E-06|0.3190138,-0.6770979,-0.412895441,0.5189277|LeftShoulder
LeftForeArm|78.1830139,-40.1221962,47.7244759,61.397644,-47.7245178,-87.76696,4.39697361,87.69189,40.1221581,-26.2139664,-87.76696,34.05133,0,0,0,1|-2.73024671E-06,23.6256676,3.16098681E-06|-0.111238383,0.05606006,0.0196209531,0.9920173|LeftArm
LeftHand|81.42787,-36.17884,45.39376,58.8021469,-45.3937569,-88.4278641,10.95083,65.75602,36.1788445,-29.5229664,-88.42785,35.7925034,0,0,0,1|1.41122473E-06,21.728632,-5.642725E-06|0.101381555,-0.0277749449,-0.008441832,0.994424|LeftForeArm
RightShoulder|-9.404354,-1.0652815E-05,-99.5568,0.24021785,99.5568,1.85858357E-06,-9.404363,-2.36800337,1.6278741E-06,-100.000031,7.32997523E-06,132.141541,0,0,0,1|3.125366,2.310277,-0.534644365|0.6279956,0.524819255,-0.483190566,0.310987443|Spine
RightArm|91.55624,29.3284912,-27.5189667,-50.5651474,27.5189667,-95.58424,-10.3131437,122.737328,-29.328474,1.86938608,-95.58422,0.3208688,0,0,0,1|-3.53108385E-06,12.588357,2.04396383E-06|0.310747832,0.6726412,0.406668663,0.5344251|RightShoulder
RightForeArm|76.9073639,41.1263161,-48.9273262,-61.59686,48.92733,-87.13605,3.66439,87.5702057,-41.12629,-26.7570343,-87.1360245,34.5465546,0,0,0,1|2.14207421E-06,22.87385,5.319026E-06|-0.161447346,-0.09031482,-0.0463682748,0.9816456|RightArm
RightHand|77.48312,38.8237152,-49.8907166,-59.71366,49.8907,-86.02187,10.5430307,62.872345,-38.82372,-33.0599136,-86.02186,39.5708427,0,0,0,1|6.002329E-06,21.5599747,3.19807236E-06|0.1306464,7.374268E-05,0.04996087,0.9901694|RightForeArm
neck|99.97936,1.48819888,1.38243353,-1.7637502,-1.382431,99.7185745,-7.36852741,-134.727692,-1.4882015,7.347898,99.71856,-10.5043964,0,0,0,1|-0.0495609231,6.056953,1.03195107|0.08770822,-0.02315098,-0.004453626,0.9958672|Spine
Head|99.9852448,1.061905,1.350364,-1.15650678,-1.35036445,97.17326,23.5697689,-138.425858,-1.06190431,-23.5845222,97.17326,33.5580025,0,0,0,1|4.559776E-07,7.87109947,-5.04416676E-06|0.232351854,-0.0487690419,0.023307953,0.9711287|neck
head_end|99.97973,1.45858228,1.3877877,-1.721564,-1.38778782,99.86626,-4.9809103,-167.543152,-1.45858181,4.96064663,99.86625,-7.10394526,0,0,0,1|-1.46907553E-08,25.0822372,-8.722393|-0.1722225,-1.20448849E-05,0.000548445736,0.98505795|Head
headfront|100.000008,-8.800999E-06,3.725288E-07,0.356576383,-4.65661316E-07,4.09828421E-14,99.99999,-7.418716,-8.777715E-06,-99.99999,-2.980232E-06,142.439667,0,0,0,1|-2.69709375E-08,4.374436,8.722399|0.5252146,-3.0699205E-08,-1.8927599E-08,0.850969851|Head
---
사람_남자
Hips|99.839386,-4.319444,3.666082,4.21311,3.666082,98.59083,16.3221111,-94.81166,-4.319444,-16.1615067,98.59083,16.9112244,0,0,0,1|0,94.0172958,3.20040917|0.14861539,-0.0233325716,-0.0233325642,0.988344431|Armature
LeftUpLeg|99.260025,-8.718619,8.450273,15.2441463,-8.450321,-99.58139,-3.4837575,86.38952,8.719307,2.74364781,-99.5801544,-3.40020752,0,0,0,1|-7.147948,-9.141651,1.46201158|0.9942203,-0.0133047355,0.0237853061,0.103842624|Hips
LeftLeg|99.75278,-5.28411961,4.630423,13.4095917,-4.63037062,-99.011734,-13.2376757,50.3027344,5.284794,12.9904184,-99.01048,-9.043059,0,0,0,1|-9.961486E-07,35.91169,-6.775881E-07|0.003126783,-0.0165667534,-0.0148841944,0.9997471|LeftUpLeg
LeftFoot|99.7881241,-2.181362,6.12782145,13.1423435,-6.12834,-63.1221962,77.31663,13.5305347,2.18179226,-77.52952,-63.12166,4.96740866,0,0,0,1|-1.595125E-06,39.39963,-4.510644E-06|-0.437389433,-0.01786807,-0.03849725,0.8982701|LeftLeg
LeftToeBase|99.6873,0.000169591454,7.900672,12.9974327,-7.901332,0.0002914912,99.6861649,-4.51861048,7.668668E-05,-99.9999847,6.077768E-06,3.20116973,0,0,0,1|1.89841984E-07,15.0145283,-3.709418E-07|-0.3703111,-0.00252593821,-0.001007877,0.9289038|LeftFoot
RightUpLeg|99.3174,8.379947,-8.112771,-14.6804266,8.112797,-99.6064453,-3.56919885,86.38353,-8.380052,2.886652,-99.60638,-3.58135557,0,0,0,1|7.637825,-8.672619,0.8241824|0.990436256,0.056254264,-0.0703588352,0.104504608|Hips
RightLeg|99.83773,4.298456,-3.73396087,-12.5088787,3.73396182,-98.9367447,-14.0562325,49.97916,-4.29857349,13.894,-98.9367,-9.627459,0,0,0,1|-1.63917122E-07,36.1965141,-1.62880531E-06|0.00586509472,0.0144849923,0.0127979591,0.999796033|RightUpLeg
RightFoot|99.62114,2.8686173,-8.209144,-12.6808062,8.209231,-62.16534,77.89784,13.5120554,-2.868702,-78.2766953,-62.1653328,5.00164175,0,0,0,1|1.37970756E-06,39.0596848,1.71372449E-06|-0.44197917,0.0140658552,0.0352891535,0.896220565|RightLeg
RightToeBase|99.44925,-0.0003568238,-10.48026,-12.4891148,10.48037,7.347464E-06,99.44926,-4.65017128,-0.00033333496,-100.000008,1.1153963E-05,3.28348231,0,0,0,1|-1.22646236E-06,15.1133413,-2.620142E-06|-0.36923334,2.502419E-05,1.00309526E-05,0.9293367|RightFoot
Spine02|100,1.02322474E-06,-5.01907955E-08,-1.49352786E-06,-5.21620166E-07,99.87992,-4.899269,-107.242126,-7.715401E-07,4.89925528,99.87992,-3.37195539,0,0,0,1|-0.489874184,10.64727,-2.28618288|-0.07119545,0.0296233464,0.0237386972,0.9967398|Hips
Spine01|100,6.461354E-07,-1.340185E-07,-5.433244E-07,-1.49090653E-07,99.87992,-4.89926,-118.1431,-6.693384E-07,4.89924669,99.87992,-3.37194157,0,0,0,1|1.4901012E-08,10.9009647,7.97911E-07|0.01943512,0.0220382735,-0.008827655,0.999529243|Spine02
Spine|99.99418,-0.8406715,-0.674968958,1.0649823,0.674966753,97.6347961,-21.61004,-126.640282,0.8406732,21.6042156,97.63479,-24.9967461,0,0,0,1|-1.12182548E-07,10.9009533,1.13530064E-06|-0.105719075,0.0184596479,-0.009246669,0.994181752|Spine01
LeftShoulder|-8.393364,-2.99219046E-05,99.64715,3.71495271,-99.64715,-1.666903E-07,-8.393353,-3.38585472,1.61792548E-06,-100.000031,-1.03314742E-05,131.534042,0,0,0,1|-3.07580662,2.623384,-0.497308463|0.637635469,-0.5204915,0.469726533,0.3191654|Spine
LeftArm|88.9752,-33.62796,30.8638344,59.4034042,-30.8638515,-94.1411,-13.5969706,118.419891,33.6279449,2.572173,-94.1411,-2.95837736,0,0,0,1|-2.975317E-07,12.2917747,5.53528662E-06|0.342579842,-0.6888456,-0.377355039,0.5154938|LeftShoulder
LeftForeArm|85.6544342,-32.27358,40.2707634,57.9468,-40.27068,-90.59819,13.0475578,90.98879,32.27369,-27.39311,-90.59816,29.7769356,0,0,0,1|-6.069414E-06,23.6256638,-3.30649777E-06|-0.0752620846,0.0644748062,0.0401829,0.994265556|LeftArm
LeftHand|85.69677,-35.18646,37.65604,60.42914,-37.65616,-92.63513,-0.862817645,71.15465,35.18634,-13.4404058,-92.63519,18.0776577,0,0,0,1|-2.92136383E-06,21.7286148,-1.96206747E-06|0.143674508,-0.0602536164,-0.0459505767,0.986719668|LeftForeArm
RightShoulder|-8.280208,2.396628E-05,-99.6566238,-3.72325516,99.65664,-5.08582332E-07,-8.280192,-3.45644331,-3.71250025E-07,-100.000031,3.08461239E-08,131.168152,0,0,0,1|3.12536621,2.310292,-0.534643948|0.614985347,0.5407659,-0.487400025,0.3029959|Spine
RightArm|92.41417,28.4468765,-25.503,-53.0901756,25.50303,-95.63589,-14.2611036,120.725945,-28.4468689,6.67526245,-95.63588,-9.114019,0,0,0,1|-2.1233202E-06,12.5883694,7.18627859E-07|0.2540665,0.6887449,0.4064875,0.5439197|RightShoulder
RightForeArm|84.27674,33.3414574,-42.2585373,-58.07971,42.2585373,-89.6098557,13.575696,89.97189,-33.3414841,-29.2989655,-89.60984,31.7564182,0,0,0,1|7.66661572E-07,22.87386,3.943832E-06|-0.1926297,-0.08422422,-0.041055236,0.9767879|RightArm
RightHand|83.7950439,36.7663155,-40.33155,-60.9100647,40.33153,-91.5053558,0.378570229,69.99827,-36.766346,-16.58353,-91.50535,21.263031,0,0,0,1|5.98486577E-06,21.55996,1.49934658E-06|0.08328958,0.01777695,0.03674024,0.9956892|RightForeArm
neck|100,6.910298E-07,-4.06873056E-07,-5.66546362E-07,5.769667E-08,99.8799438,-4.89927053,-135.188492,-4.63391046E-07,4.8992486,99.87992,-3.37194538,0,0,0,1|-0.0495612547,6.05696869,1.031951|0.06338476,-0.0329605043,0.00135545956,0.997443855|Spine
Head|100,5.313018E-07,4.87168457E-08,-3.76230815E-07,-2.38999633E-07,89.38836,44.8299255,-126.240471,-9.107538E-07,-44.8299561,89.38834,67.38518,0,0,0,1|9.947144E-08,7.87111,-5.869507E-06|0.212712228,-0.04512555,0.0181139074,0.9759042|neck
head_end|100,5.779307E-07,-9.04275339E-08,-4.480013E-07,4.52347741E-08,99.1537247,12.98238,-167.925278,-7.94704931E-07,-12.9824066,99.15371,22.1818562,0,0,0,1|1.564322E-07,25.0822468,-8.722416|-0.172295853,-2.6203872E-05,0.000295871869,0.985045254|Head
headfront|100.000008,-8.74227953E-06,-2.79471575E-08,1.28871134E-05,-8.445882E-07,-3.27825619E-05,100.000008,-6.11686,-9.468232E-06,-100.000023,2.6461017E-15,143.053024,0,0,0,1|2.01194666E-07,4.37444353,8.722377|0.5252146,-3.0699205E-08,-1.8927599E-08,0.850969851|Head
---
